EstimateItemID,EstimateID,ItemID,Page,AccessoryItemID,PartNumber,DimensionString,DimensionStringMetric,ManHours,CalculatedManHours,ManualOverrideSum,CalculatedHash,Weight,WeightItem,WeightWeld,SurfaceArea,SquareMetersEach,Perimeter,MaterialCostPricingTypeID,MaterialCostCurrencyID,MaterialUnitCost,MaterialCost,MaterialDropCost,MaterialDropWeight,MaterialCostUnits,MaterialCostDate,ShopBolts,FieldBolts,Quantity,ShapeID,SizeID,DimDepth,DimWidth,DimWeight,DimThickness,DimGage,DimDiameter,DimComment,Length,GradeID,Camber,EstimateExtraString,LaborCodeID,Copes,Holes,HolesWithoutBolts,Stiffeners,TopFlangeHoles,WebHoles,BottomFlangeHoles,WeldedStuds,ManHoursPerPiece,CostPerPieceCurrencyID,CostPerPiece,ManualUnitCostCurrencyID,ManualUnitCost,ManualCost,ManualEstimateCostUnitID,Finish,PaintSystemID,CleanSystemID,CategoryID,SubCategoryID,Sequence,MainPiece,DetailingHours,DetailingCostCurrencyID,DetailingCost,ErectHours,ErectCostCurrencyID,ErectCost,Comment,ProductionCodeID,EstimateStatusID,CostCodeID,CostTypeID,Recalculate,ReloadStandardClips
6831964,5409,100,BEAMS,NULL,NULL,"12 x 14","310 x 21",6.906503024995020,6.906503024995020,0,...,259.303638183333000,259.303638183333000,0.648637089099998,12.417573222243200,0.000000000000000,2015.748031496060000,1,1,1.591737532974820,412.743333333334000,42.116666666668000,26.459554916667500,100,2024-01-08,0,0,2,9,226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6223.012446024890000,8,NULL,"Main - Paint Load/Flip/Unload;Main Part - Det/Eng/Hand/Load;Miter Extra:2;SP2/SP3 Blast (no PL)",133,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,PNT,7,NULL,NULL,NULL,NULL,1,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,Beam,12,NULL,1,NULL,0,0
6832047,5409,200,BEAMS,NULL,NULL,"3/4 x 5","19.1 x 127",0.983230498618519,0.983230498618519,0,...,16.399411641059000,16.399411641059000,0.000000000000000,0.261936007742983,0.054838819355058,584.201168402337000,1,1,1.697559418823560,27.838975694444400,730.777227735476000,430.486980091641000,100,2024-02-21,0,0,2,57,1980,NULL,127.000254000508000,NULL,NULL,NULL,NULL,NULL,431.800863601727000,26,NULL,"Accessories - Layout Fab;SP2/SP3 Blast (no PL)",45,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,PNT,7,NULL,9,NULL,NULL,0,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,NULL,12,NULL,1,NULL,0,0
6832049,5409,300,BEAMS,NULL,NULL,"3/4 x 5","19.1 x 127",0.975284653788308,0.975284653788308,0,...,15.434740368055500,15.434740368055500,0.000000000000000,0.247097268388085,0.051613006451819,584.201168402337000,1,1,1.697559418823560,26.201388888888800,687.790331986327000,405.164216556837000,100,2024-02-21,0,0,2,57,1980,NULL,127.000254000508000,NULL,NULL,NULL,NULL,NULL,406.400812801625000,26,NULL,"Accessories - Layout Fab;SP2/SP3 Blast (no PL)",45,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,PNT,7,NULL,9,NULL,NULL,0,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,NULL,12,NULL,1,NULL,0,0
6899499,5409,400,BEAMS,NULL,NULL,"3/4 x 0'-2 3/4","19.05 x 69.85",0.000000000000000,0.000000000000000,0,...,3.927202739460000,3.927202739460000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1,1,1.900000000000000,34.200000000000000,0.000000000000000,0.000000000000000,300,2024-02-04,0,0,18,187,2199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,UNP,NULL,NULL,12,NULL,NULL,0,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,"QTY = 6/Loc â€¢ 3Loc",12,NULL,3,NULL,0,0
6906767,5409,500,BEAMS,NULL,NULL,"11ga x 4","11ga x 101.6",3.947961794015610,3.947961794015610,0,...,6.929883430555520,6.929883430555520,0.249475803500000,0.598669455403425,0.012903251612955,4605.694691389370000,1,1,1.256634894453810,8.708333333333340,73.791666666666900,58.721643806286400,100,2024-02-21,0,0,22,57,4891,NULL,101.600203200406000,NULL,NULL,NULL,NULL,NULL,127.000254000508000,26,NULL,"Accessories - Layout Fab;SP2/SP3 Blast (no PL)",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,PNT,7,NULL,14,NULL,NULL,0,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,"Purlin Clip",12,NULL,1,NULL,0,0
6831872,5409,100,COLUMNS,NULL,NULL,"6 x 16","150 x 24",5.147265807212660,5.147265807212660,0,...,200.790222453333000,200.790222453333000,0.232844083266666,6.031702385985410,0.000000000000000,1456.946913893830000,1,1,1.591737532974820,319.605333333333000,26.954666666666900,16.934115146666800,100,2024-01-08,0,0,2,9,261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4216.408432816860000,8,NULL,"Main - Paint Load/Flip/Unload;Main Part - Det/Eng/Hand/Load;SP2/SP3 Blast (no PL)",133,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,PNT,7,NULL,13,NULL,NULL,1,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,Columns,17,NULL,1,NULL,0,0
6899482,5409,900,COLUMNS,NULL,NULL,"3/4 x 6 5/8","19.1 x 168.3",0.740310552597575,0.740310552597575,0,...,8.947326057107160,8.947326057107160,0.000000000000000,0.146048679194132,0.029919414677539,749.301498602997000,1,1,1.697559418823560,15.188617621527700,398.703458073326000,234.868631785293000,100,2024-02-21,0,0,2,57,1980,NULL,168.275336550673000,NULL,NULL,NULL,NULL,NULL,177.800355600711000,26,NULL,"Accessories - Layout Fab;SP2/SP3 Blast (no PL)",45,0,0,2,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,PNT,7,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,"Base Plate",17,NULL,1,NULL,0,0
6899483,5409,1000,COLUMNS,NULL,NULL,3/4,19.1,0.148155555555555,0.148155555555555,0,...,4.317745770029990,4.317745770029990,0.000000000000000,0.115529767352837,0.000000000000000,239.389838983220000,1,1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100,NULL,0,0,4,44,1883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,482.600965201930000,380,NULL,NULL,67,0,0,0,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,UNP,NULL,NULL,10,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,"Anchor Bolts - Epoxy",3,NULL,1,NULL,0,0
6899835,5409,1050,COLUMNS,NULL,NULL,"Epoxy HY200 MAX 11oz","Epoxy HY200 MAX 11oz",0.000000000000000,0.000000000000000,0,...,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1,1,29.000000000000000,58.000000000000000,0.000000000000000,0.000000000000000,300,2024-01-14,0,0,2,211,5511,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,UNP,NULL,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,NULL,3,NULL,3,NULL,0,0
6899484,5409,1100,COLUMNS,NULL,NULL,"1/4 x 2","6.4 x 50.8",0.120280130842196,0.120280130842196,0,...,0.514474545884444,0.514474545884444,0.000000000000000,0.025806503225910,0.002580650322591,457.200914401829000,1,1,1.256634894453810,0.646506666666669,0.000000000000000,0.000000000000000,100,2024-02-21,0,0,4,57,1988,NULL,50.800101600203200,NULL,NULL,NULL,NULL,NULL,50.800101600203200,26,NULL,NULL,45,0,0,1,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,UNP,NULL,NULL,2,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,"Plate Washers",13,NULL,1,NULL,0,0
6899485,5409,1200,COLUMNS,NULL,NULL,"1/2 x 3","12.7 x 76.2",0.120630693571041,0.120630693571041,0,...,2.315248854572500,2.315248854572500,0.000000000000000,0.061935607742183,0.005806463225830,711.201422402845000,1,1,1.256634894453810,2.909422500000010,0.000000000000000,0.000000000000000,100,2024-02-21,0,0,4,57,1984,NULL,76.200152400304800,NULL,NULL,NULL,NULL,NULL,76.200152400304800,26,NULL,NULL,45,0,0,0,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,UNP,NULL,NULL,3,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,NULL,13,NULL,1,NULL,0,0
6899486,5409,1300,COLUMNS,NULL,NULL,"1/4 x 3","6.4 x 76.2",0.117732142846404,0.117732142846404,0,...,1.157567728240000,1.157567728240000,0.000000000000000,0.054193656774410,0.005806463225830,660.401320802642000,1,1,1.256634894453810,1.454640000000010,0.000000000000000,0.000000000000000,100,2024-02-21,0,0,4,57,1988,NULL,76.200152400304800,NULL,NULL,NULL,NULL,NULL,76.200152400304800,26,NULL,NULL,45,0,0,0,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,UNP,NULL,NULL,3,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,NULL,13,NULL,1,NULL,0,0
6899487,5409,1400,COLUMNS,NULL,NULL,"14ga x 3","14ga x 76.2",0.057675595232726,0.057675595232726,0,...,0.177184519531250,0.177184519531250,0.000000000000000,0.024592236797377,0.005806463225830,313.766365252730000,1,1,1.322773573109270,0.234375000000001,0.000000000000000,0.000000000000000,100,2024-02-21,0,0,2,57,4893,NULL,76.200152400304800,NULL,NULL,NULL,NULL,NULL,76.200152400304800,27,NULL,NULL,45,0,0,0,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,UNP,NULL,NULL,3,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,NULL,13,NULL,1,NULL,0,0
6899488,5409,1500,COLUMNS,NULL,NULL,"14ga x 6 5/8","14ga x 168.3",0.093750731439435,0.093750731439435,0,...,0.912992454806855,0.912992454806855,0.000000000000000,0.122780488802913,0.029919414677539,682.067101854203000,1,1,1.322773573109270,1.207682291666670,0.000000000000000,0.000000000000000,100,2024-02-21,0,0,2,57,4893,NULL,168.275336550673000,NULL,NULL,NULL,NULL,NULL,177.800355600711000,27,NULL,NULL,45,0,0,2,NULL,NULL,NULL,NULL,0,0.000000000000000,1,0.000000000000000,1,0.000000000000000,0.000000000000000,300,UNP,NULL,NULL,4,NULL,NULL,0,0.000000000000000,1,0.000000000000000,NULL,1,0.000000000000000,template,13,NULL,1,NULL,0,0
6899489,5409,1600,COLUMNS,NULL,NULL,"11ga x 4","11ga x 101.6",2.871244941102260,2.871244941102260,0,...,5.039915222222200,5.039915222222200,0.181436948000000,0.435395967566127,0.012903251612955,3349.596139192270000,1,1,1.256634894453810,6.333333333333340,53.666666666666800,42.706650040935500,100,2024-02-21,0,0,16,57,4891,NULL,101.600203200406000,NULL,NULL,NULL,NULL,NULL,127.000254000508000,26,NULL,"Accessories - Layout Fab;SP2/SP3 Blast (no PL)",45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.000000000000000,1,NULL,0.000000000000000,300,PNT,7,NULL,14,NULL,NULL,0,0.000000000000000,1,0.000000000000000,0.000000000000000,1,0.000000000000000,"Girt Clip",17,NULL,1,NULL,0,0
